"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@Wael_Elrifai from @Pentaho talks about machine learning algorithms at @bigdata gathering in Helsinki https://t.co/QMOy2ZnFDy",FALSE,0,"Wael_Elrifai",2017-03-22 10:50:46,FALSE,NA,"844501603344269316","18650325","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","stevesarsfield",0,FALSE,FALSE,NA,NA
"2","RT @atolcd: C'est encore #lemoisdelacarto ! La semaine prochaine, nous vous proposons un webinar dédié au géodécisionnel &gt;&gt; https://t.co/b3…",FALSE,0,NA,2017-03-22 10:50:28,FALSE,NA,"844501526886404096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jpporcherot",0,TRUE,FALSE,NA,NA
"3","RT @stevesarsfield: #IoT is transforming the world. In Helsinki today talking #bigdata https://t.co/xhEvgyfken with @vertica @hpe_voltage @…",FALSE,0,NA,2017-03-22 10:41:01,FALSE,NA,"844499147973705728",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dlandew",2,TRUE,FALSE,NA,NA
"4","Schöne Zusammenfassung des #PUM17: BigData-Insider berichtet über das Pentaho User Meeting @bigdata_insider https://t.co/SiTl3B3wWn",FALSE,2,NA,2017-03-22 10:14:33,FALSE,NA,"844492487876132865",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","pug_dach",1,FALSE,FALSE,NA,NA
"5","RT @Pentaho: Standing room only for session on It’s Not Just About Visualisation or Business Analytics, with  @Wael_Elrifai at #GartnerDA i…",FALSE,0,NA,2017-03-22 09:52:30,FALSE,NA,"844486936228253696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","biconnections",4,TRUE,FALSE,NA,NA
"6","RT @Pentaho: Standing room only for session on It’s Not Just About Visualisation or Business Analytics, with  @Wael_Elrifai at #GartnerDA i…",FALSE,0,NA,2017-03-22 09:48:54,FALSE,NA,"844486033500704768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mattcasters",4,TRUE,FALSE,NA,NA
"7","RT @pmalves: I'm giving #Pentaho #Ctools advaced course 9 -10 May in São Paulo, Brazil (right before #pentahoday) https://t.co/kFtDlu3aqX @…",FALSE,0,NA,2017-03-22 09:48:17,FALSE,NA,"844485876218548224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mattcasters",3,TRUE,FALSE,NA,NA
"8","RT @infobrainbug: Empower people across the organization to make faster, more informed business decisions #pentaho #BigData #analytics http…",FALSE,0,NA,2017-03-22 09:27:16,FALSE,NA,"844480588572614657",NA,"<a href=""https://abc.def.com"" rel=""nofollow"">DavidHelloall</a>","DavidtheData",1,TRUE,FALSE,NA,NA
"9","Empower people across the organization to make faster, more informed business decisions #pentaho #BigData #analytics https://t.co/aK9mFbi9UG",FALSE,0,NA,2017-03-22 09:27:16,FALSE,NA,"844480586601390084",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","infobrainbug",1,FALSE,FALSE,NA,NA
"10","#empleo #trabajo Consultor Pentaho Kettle Barcelona. CV a candidato@tsdconsulting.es Asunto:Kettle https://t.co/fYELRdIKcB",FALSE,0,NA,2017-03-22 08:11:10,FALSE,NA,"844461437498114048",NA,"<a href=""http://www.botize.com"" rel=""nofollow"">Botize</a>","tsdconsulting",0,FALSE,FALSE,NA,NA
